sysnum,title
003180149,"Djin-Djin, the Japanese Bogie Man, etc. (Christmas pantomime.)"
003537490,The Poems of Sir John Suckling. (Edited by John Gray and decorated by C. Ricketts.)
002373077,“Nobly Planned.” [A tale.]
000108005,By a Winding Path. [A novel.]
000433666,The Century of Louis XIV. Its arts-its ideas. From the French ... by Mrs. Cashel Hoey. [With plates.]
003757808,Baranya multja és jelenje. [With illustrations and a map.]
003344033,The Child World. [In verse.] ... Illustrated by C. Robinson
002736641,"West Dene Manor, etc. [A story.]"
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
003581310,Elementary Physical Geography
003775837,"У Болгаръ и заграницей, 1881-1893 ... Продолженіе очерковъ “Дома и на Войнѣ” ... Изданіе второе"
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
000455624,"The Metallic Alloys. A practical guide for the manufacture of all kinds of alloys, amalgams, and solders ... New, revised and enlarged edition"
000149918,Poetical Works of Autremonde. With The Leaven of Hamelin: a drama of 1990
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
002512059,"Country Stories, etc"
000108005,By a Winding Path. [A novel.]
003537490,The Poems of Sir John Suckling. (Edited by John Gray and decorated by C. Ricketts.)
001668962,A short history of Colmer and Priors Dean ... Taken from the larger edition. [Illustrated.]
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
001726694,The Haunted House ... Illustrated by H. Railton. With an introduction by Austin Dobson
003581310,Elementary Physical Geography
002500254,[Milne's Express Series.]
003253482,"Jeanne d'Arc et la Normandie au XVme siècle. Illustrations, etc"
000571275,"The Way about Herefordshire ... Written by C. Caldicott and illustrated by C. Caldicott and A. E. Caldicott. With a comprehensive county gazetteer, edited by A. Baines. (2nd edition.)"
000433666,The Century of Louis XIV. Its arts-its ideas. From the French ... by Mrs. Cashel Hoey. [With plates.]
001006231,His Honour and a Lady
000129010,"Hyde Park from Domesday-Book to date, etc"
002293129,"The Student's Lyell. A manual of elementary geology. Edited by J. W. Judd. With ... illustrations, etc"
001656017,The Story of a Trip to Switzerland of Seven Birmingham Men ... Supplemented in verse by an old friend. Illustrated. [With portraits.]
003922712,"Camping in the Canadian Rockies ... With ... a sketch of the early explorations ... With ... illustrations, etc"
003936726,"Lyrics of Lincoln's Inn, etc"
001384296,"[Outlines of Geology ... Second edition revised, etc.]"
001144078,"Conquest of the Country Northwest of the River Ohio, 1778-1783, and life of Gen. George Rogers Clark. Over one hundred and twenty-five illustrations. With numerous sketches of men who served under Clark, etc"
003968111,[Oswald Cray.]
002452889,Die Lage des steirischen Unterthanenstandes seit Beginn der neueren Zeit bis in die Mitte des 17 Jahrhunderts
003501199,[A Child's Garden of Verses ... Second edition.]
000115608,“The Cobbler o' Kirkiebrae.” A romance of Galloway
000015282,The Growth of the French Nation
002300886,"A Book of Old English Ballads. With an accompaniment of decorative drawings by G. W. Edwards, and an introduction by H. W. Mabie"
002151945,Frank and Esther. A Polish Jewish romance
000601544,A travers la Bosnie et l'Herzégovine. Études et impressions de voyage. [With plates and a map.]
